-0.02	-0.02	-0.01	0.05	-0.00	0.04	
-0.05	-0.05	-0.04	0.14	-0.01	0.11	
-0.10	-0.11	-0.08	0.34	-0.05	0.27	
-0.15	-0.17	-0.12	0.61	-0.12	0.52	
-0.20	-0.22	-0.15	0.94	-0.24	0.81	
-0.24	-0.27	-0.16	1.28	-0.40	1.14	
-0.28	-0.32	-0.18	1.62	-0.60	1.47	
-0.33	-0.38	-0.20	1.96	-0.82	1.79	
-0.38	-0.45	-0.23	2.28	-1.04	2.10	
-0.44	-0.52	-0.26	2.58	-1.27	2.39	
-0.48	-0.58	-0.28	2.86	-1.49	2.65	
-0.51	-0.63	-0.29	3.11	-1.70	2.89	
-0.52	-0.67	-0.29	3.33	-1.90	3.10	
-0.52	-0.69	-0.28	3.53	-2.08	3.29	
-0.50	-0.70	-0.26	3.70	-2.24	3.46	
-0.48	-0.70	-0.24	3.84	-2.40	3.61	
-0.45	-0.68	-0.20	3.96	-2.54	3.72	
-0.41	-0.65	-0.15	4.05	-2.67	3.81	
-0.37	-0.61	-0.10	4.12	-2.77	3.88	
-0.32	-0.57	-0.05	4.19	-2.84	3.95	
-0.27	-0.52	-0.01	4.26	-2.86	4.03	
-0.23	-0.48	0.03	4.35	-2.84	4.11	
-0.18	-0.44	0.07	4.44	-2.78	4.21	
-0.13	-0.40	0.11	4.52	-2.69	4.30	
-0.08	-0.36	0.14	4.59	-2.60	4.38	
-0.02	-0.33	0.16	4.63	-2.51	4.45	
0.03	-0.30	0.18	4.64	-2.42	4.50	
0.07	-0.28	0.18	4.63	-2.35	4.53	
0.11	-0.28	0.17	4.61	-2.28	4.55	
0.15	-0.28	0.15	4.57	-2.22	4.56	
0.18	-0.27	0.13	4.52	-2.17	4.56	
0.22	-0.27	0.12	4.46	-2.14	4.55	
0.27	-0.24	0.11	4.39	-2.11	4.53	
0.33	-0.21	0.12	4.32	-2.10	4.51	
0.39	-0.16	0.14	4.24	-2.09	4.49	
0.45	-0.11	0.16	4.17	-2.09	4.46	
0.51	-0.07	0.19	4.11	-2.09	4.44	
0.56	-0.03	0.20	4.07	-2.08	4.43	
0.60	-0.01	0.20	4.04	-2.07	4.44	
0.61	-0.02	0.18	4.02	-2.05	4.45	
0.60	-0.04	0.14	4.00	-2.04	4.47	
0.58	-0.08	0.09	3.97	-2.04	4.49	
0.54	-0.13	0.03	3.94	-2.04	4.50	
0.49	-0.18	-0.03	3.90	-2.04	4.51	
0.43	-0.24	-0.10	3.85	-2.04	4.52	
0.37	-0.31	-0.18	3.80	-2.05	4.52	
0.31	-0.38	-0.25	3.75	-2.06	4.52	
0.24	-0.45	-0.33	3.70	-2.08	4.51	
0.16	-0.52	-0.41	3.65	-2.10	4.50	
0.09	-0.59	-0.49	3.61	-2.13	4.48	
0.02	-0.67	-0.57	3.57	-2.16	4.47	
-0.05	-0.74	-0.65	3.55	-2.20	4.46	
-0.11	-0.82	-0.72	3.54	-2.25	4.45	
-0.17	-0.88	-0.79	3.53	-2.30	4.45	
-0.21	-0.95	-0.84	3.52	-2.35	4.44	
-0.25	-1.00	-0.89	3.51	-2.42	4.42	
-0.27	-1.04	-0.92	3.49	-2.50	4.39	
-0.29	-1.07	-0.94	3.45	-2.60	4.34	
-0.31	-1.09	-0.96	3.40	-2.71	4.28	
-0.32	-1.11	-0.98	3.33	-2.84	4.20	
-0.32	-1.13	-0.99	3.25	-2.96	4.11	
-0.32	-1.14	-1.01	3.17	-3.08	4.03	
-0.32	-1.15	-1.02	3.11	-3.17	3.97	
-0.32	-1.17	-1.03	3.07	-3.24	3.92	
-0.32	-1.17	-1.03	3.05	-3.27	3.88	
-0.32	-1.17	-1.03	3.05	-3.29	3.86	
-0.30	-1.16	-1.01	3.04	-3.29	3.84	
-0.27	-1.12	-0.97	3.02	-3.29	3.82	
-0.22	-1.07	-0.92	2.98	-3.31	3.78	
-0.17	-1.01	-0.85	2.91	-3.34	3.71	
-0.12	-0.95	-0.79	2.82	-3.40	3.61	
-0.07	-0.89	-0.72	2.72	-3.47	3.48	
-0.04	-0.85	-0.67	2.62	-3.55	3.34	
-0.02	-0.81	-0.63	2.54	-3.62	3.20	
-0.02	-0.79	-0.60	2.47	-3.66	3.08	
-0.02	-0.78	-0.57	2.45	-3.68	2.99	
-0.03	-0.77	-0.55	2.46	-3.65	2.93	
-0.03	-0.76	-0.52	2.50	-3.58	2.91	
-0.02	-0.74	-0.49	2.58	-3.49	2.92	
-0.00	-0.70	-0.44	2.67	-3.38	2.95	
