0.02	0.01	0.00	0.08	0.06	0.02	
0.04	0.01	0.01	0.21	0.15	0.05	
0.08	0.02	0.00	0.39	0.27	0.07	
0.11	0.00	-0.01	0.48	0.36	0.05	
0.12	-0.03	-0.04	0.39	0.33	-0.06	
0.11	-0.09	-0.08	0.14	0.20	-0.23	
0.09	-0.16	-0.12	-0.23	-0.00	-0.46	
0.06	-0.24	-0.17	-0.68	-0.26	-0.73	
0.03	-0.32	-0.22	-1.17	-0.55	-1.02	
0.00	-0.40	-0.28	-1.66	-0.85	-1.32	
-0.02	-0.47	-0.34	-2.15	-1.14	-1.60	
-0.04	-0.54	-0.41	-2.62	-1.42	-1.85	
-0.06	-0.61	-0.48	-3.07	-1.69	-2.07	
-0.06	-0.66	-0.55	-3.49	-1.94	-2.27	
-0.07	-0.71	-0.63	-3.88	-2.17	-2.44	
-0.07	-0.74	-0.69	-4.24	-2.37	-2.59	
-0.07	-0.77	-0.76	-4.54	-2.53	-2.69	
-0.08	-0.80	-0.81	-4.79	-2.66	-2.74	
-0.09	-0.83	-0.87	-4.99	-2.75	-2.74	
-0.11	-0.85	-0.92	-5.16	-2.81	-2.70	
-0.13	-0.88	-0.98	-5.29	-2.85	-2.64	
-0.16	-0.91	-1.04	-5.40	-2.88	-2.55	
-0.20	-0.94	-1.10	-5.50	-2.91	-2.45	
-0.24	-0.98	-1.15	-5.57	-2.93	-2.33	
-0.29	-1.02	-1.20	-5.62	-2.94	-2.21	
-0.34	-1.05	-1.24	-5.64	-2.94	-2.10	
-0.39	-1.09	-1.28	-5.63	-2.93	-2.00	
-0.43	-1.12	-1.31	-5.59	-2.91	-1.94	
-0.47	-1.15	-1.34	-5.54	-2.88	-1.93	
-0.51	-1.18	-1.36	-5.46	-2.86	-1.96	
-0.55	-1.20	-1.38	-5.39	-2.86	-2.03	
-0.59	-1.22	-1.39	-5.33	-2.87	-2.15	
-0.62	-1.24	-1.39	-5.29	-2.91	-2.30	
-0.65	-1.25	-1.38	-5.27	-2.96	-2.49	
-0.68	-1.25	-1.35	-5.28	-3.04	-2.69	
-0.71	-1.26	-1.32	-5.31	-3.13	-2.90	
-0.74	-1.26	-1.29	-5.36	-3.23	-3.11	
-0.77	-1.27	-1.25	-5.42	-3.33	-3.31	
-0.81	-1.28	-1.22	-5.48	-3.43	-3.48	
-0.84	-1.29	-1.18	-5.53	-3.50	-3.64	
-0.87	-1.30	-1.14	-5.57	-3.56	-3.76	
-0.90	-1.30	-1.10	-5.58	-3.60	-3.87	
-0.92	-1.31	-1.07	-5.57	-3.62	-3.97	
-0.95	-1.31	-1.05	-5.54	-3.63	-4.07	
-0.97	-1.32	-1.03	-5.49	-3.63	-4.17	
-0.99	-1.33	-1.02	-5.41	-3.62	-4.28	
-1.00	-1.35	-1.01	-5.32	-3.61	-4.38	
-1.01	-1.36	-1.01	-5.22	-3.60	-4.48	
-1.01	-1.36	-0.99	-5.11	-3.57	-4.54	
-1.00	-1.36	-0.98	-4.99	-3.53	-4.58	
-0.98	-1.35	-0.96	-4.86	-3.46	-4.58	
-0.95	-1.32	-0.93	-4.72	-3.38	-4.54	
