0.04	0.24	0.20	0.13	-0.12	-0.04	0.09	-0.05	
0.12	0.72	0.62	0.39	-0.38	-0.14	0.25	-0.16	
0.26	1.66	1.44	0.90	-0.93	-0.36	0.52	-0.39	
0.44	2.96	2.55	1.59	-1.78	-0.75	0.82	-0.75	
0.63	4.40	3.79	2.34	-2.83	-1.27	1.04	-1.22	
0.84	5.81	5.02	3.07	-3.96	-1.87	1.13	-1.75	
1.07	7.11	6.17	3.73	-5.01	-2.42	1.12	-2.27	
1.31	8.24	7.19	4.29	-5.91	-2.86	1.06	-2.73	
1.51	9.14	8.03	4.74	-6.63	-3.17	0.97	-3.11	
1.66	9.83	8.67	5.08	-7.18	-3.36	0.86	-3.42	
1.74	10.30	9.10	5.30	-7.55	-3.46	0.76	-3.65	
1.79	10.59	9.34	5.42	-7.72	-3.47	0.67	-3.81	
1.84	10.75	9.44	5.49	-7.71	-3.40	0.62	-3.86	
1.95	10.85	9.50	5.55	-7.54	-3.28	0.63	-3.82	
2.15	10.95	9.58	5.65	-7.26	-3.17	0.70	-3.74	
2.43	11.05	9.71	5.79	-6.93	-3.13	0.82	-3.68	
2.74	11.13	9.87	5.95	-6.60	-3.18	0.96	-3.69	
3.04	11.20	10.03	6.09	-6.34	-3.30	1.06	-3.79	
3.30	11.23	10.19	6.22	-6.18	-3.49	1.08	-3.96	
3.51	11.25	10.34	6.32	-6.17	-3.72	1.02	-4.19	
3.69	11.26	10.47	6.41	-6.28	-4.00	0.91	-4.43	
3.81	11.25	10.57	6.46	-6.45	-4.31	0.79	-4.70	
3.86	11.20	10.61	6.46	-6.66	-4.68	0.68	-4.98	
3.83	11.08	10.58	6.38	-6.92	-5.08	0.56	-5.27	
3.76	10.90	10.52	6.24	-7.22	-5.44	0.42	-5.52	
3.68	10.69	10.46	6.07	-7.51	-5.71	0.31	-5.69	
3.61	10.49	10.42	5.93	-7.76	-5.82	0.28	-5.76	
3.53	10.33	10.40	5.82	-7.93	-5.80	0.33	-5.76	
3.45	10.19	10.37	5.75	-8.02	-5.74	0.43	-5.78	
3.35	10.09	10.33	5.70	-8.04	-5.70	0.53	-5.90	
3.25	10.00	10.26	5.65	-7.98	-5.75	0.62	-6.14	
3.15	9.92	10.18	5.60	-7.82	-5.85	0.73	-6.48	
3.08	9.88	10.12	5.56	-7.59	-5.96	0.85	-6.83	
3.04	9.86	10.13	5.54	-7.33	-6.07	0.95	-7.16	
3.04	9.85	10.21	5.54	-7.13	-6.19	0.96	-7.48	
3.03	9.82	10.33	5.56	-7.04	-6.35	0.83	-7.77	
2.99	9.74	10.43	5.55	-7.07	-6.53	0.60	-7.99	
2.90	9.61	10.45	5.52	-7.16	-6.69	0.37	-8.11	
2.77	9.45	10.37	5.46	-7.24	-6.80	0.19	-8.09	
2.62	9.29	10.21	5.41	-7.27	-6.84	0.08	-7.94	
2.49	9.15	10.00	5.36	-7.22	-6.79	0.03	-7.66	
2.37	9.02	9.77	5.32	-7.13	-6.68	0.03	-7.29	
2.29	8.91	9.55	5.29	-7.02	-6.51	0.06	-6.87	
2.23	8.82	9.33	5.27	-6.91	-6.33	0.12	-6.44	
